videoId,title,published_at,duration_sec,views,likes,comments
52m0AuEZQuQ,كلينا الطاوس فطبسيل الطاوس!😳🤣,2024-07-07 12:01:35+00:00,1451.0,462529,19243,677
trV4Sg_wbQg,لحظة إدراك 🤣🤣🤣,2024-06-27 20:20:28+00:00,43.0,300845,14310,262
cgFiNLn_69o,عيد الاضحى بطعم الصيف..الفيديو لي كيتسناه كولشي,2024-06-17 21:39:24+00:00,1387.0,569931,25753,470
VkpTjiZTCDs,شرينا أضحية العيد مع الوليد...هاد لعيد ماشي فحال كاع الاعياد😳,2024-06-14 13:58:38+00:00,1642.0,488031,24259,593
bHJgSJBkZ4c,واخيرا درت المبادرة لي كنت كنحلم نديرها من شحال هادي 😳 #متخليوهاش_تخناز,2024-06-08 13:29:01+00:00,1164.0,240533,13961,543
RJmCO8PMGk0,بعد غياب طويل درنا فطور أسطوري فالرحبة ديال الخرفان 😳🤣🤣,2024-06-01 12:18:35+00:00,1300.0,362044,20476,621
5lR86iBuZ0Q,كادو بنكهة التبن 🤣,2024-04-10 14:48:55+00:00,59.0,114954,5044,44
EBXoONidbA4,جربنا ركوب البالون العملاق..لوليد شداتو لخلعة فالسماء!,2024-03-02 12:48:44+00:00,1284.0,531441,23983,439
ur9GCsEQvxU,هاعلاش ممشيناش للكوت ديفوار...قدر الله وما شاء فعل!,2024-01-27 14:51:01+00:00,1936.0,301870,19691,903
vc_pvQcE0PQ,وصلات للحظة لي كنا كنتسناوها...الوليد بدا كيبيع القناين وها هي الارباح لي دار فنهار واحد!!,2023-12-30 13:07:46+00:00,1121.0,870021,34174,565
2G1sBiOjIq8,واخيرا الضالة رجع بعد غياب طويل ...وآخر تطور للمشروع ديال الدجاج!,2023-12-16 12:50:59+00:00,1611.0,607719,28978,627
HtiFBiZs3DE,دخلنا لأغرب قهوة فالعالم...تقهوينا مع الكلاب😳😂!!,2023-12-09 13:18:31+00:00,1282.0,343924,18389,410
NuuE76XuQEg,حكمنا على ديباني يقاد لمسمن فجاكارتا...شوفو ردة فعل الشعب الإندونيسي!!,2023-12-03 12:55:27+00:00,1628.0,440162,18754,394
hN-kEtxdR0Q,عرضو علينا نحضرو لجنازة فإندونيسيا...دوزنا معاهوم نهار كامل!,2023-11-30 13:08:13+00:00,1347.0,259421,15712,459
QrQE6CouxfI,ها كفاش دوزنا نهار كامل فإندونيسيا ب خمسين درهم للفرد !؟,2023-11-26 12:03:03+00:00,1339.0,479728,20834,648
Pz6rPqLTaJI,دخلنا نكتاشفو حيونات لغابة فإندونوسيا...قالو لينا كاين نمر سوماترا,2023-11-23 14:52:41+00:00,1414.0,424461,21795,573
02IwmyZk7kQ,تحدي من أجل البقاء .. بغينا ندوزو 24 ساعة وسط لغابة ولكن خرجو لينا لحناش !!!,2023-11-19 12:34:41+00:00,2028.0,705531,28055,779
vmsEcFPaNpA,جربنا نلبسو الملابس الإندونيسية... درية تزعطات لينا فديباني!!!,2023-11-16 12:03:38+00:00,1073.0,278064,15858,334
EC8M8P3ZQT0,دوزنا نهار زوين وسط البحر..و حسام دار ما بغا فالمعلم ديباني هههههه,2023-11-04 15:58:57+00:00,2101.0,645550,28154,679
LloghB4EeUk,قارنا الاسعار بين المغرب🇲🇦وإندونيسيا🇮🇩...ها الصدمة فين كانت!!!!,2023-11-01 16:38:29+00:00,1936.0,541475,21135,485
AzM1FUNRtAM,درنا يوم ملكي لديباني:متخيلوش شنو طلب منا ، هاد لخطرة تسيف علينا ديال بصح!!,2023-10-28 16:24:45+00:00,1707.0,607497,26823,665
LWenty42Dho,درنا كاميلا فبالي..ديباني صدق طباخ ! وها شنو قال هاد الإندونيسي على لكاميلا المغربية,2023-10-26 12:25:19+00:00,1613.0,624085,25822,675
oICmmYkHacw,مشينا لمدينة بالي السياحية ..وتصدمنا من داكشي لي شفنا!!,2023-10-22 12:32:48+00:00,727.0,386202,22241,486
D296hguAfMY,جربنا نخدمو فانودنيسيا.. ديباني طبر على بريكول ؟؟,2023-10-17 12:21:20+00:00,941.0,344345,19906,516
iVUtffwYZ5s,مشينا لبركان فاندونيسيا🇮🇩و درنا برانك لمعلم ديپاني .. ولكن ها شنو وقع !!,2023-10-13 13:22:36+00:00,1225.0,496798,25360,452
70MLaNAeTY0,اكل الشوارع: جربنا وجبات إندونيسية غريبة ...ديباني تقية وسط الناس ههه,2023-10-08 12:01:20+00:00,1104.0,622754,24692,414
QvAdBZnk8Yk,تلاقينا مع رجل صيني فعمروسبعة وسبعين سنة👴🏻..تصضمنا باللياقة البدنية ديالو😨شنوهوالسر🤔,2023-10-04 13:01:18+00:00,1169.0,372753,19799,401
Q0DtLwESlNU,تحدي للمعلم ديباني: واش تقدر تقاد سفنج فأندونيسيا؟للاسف النتيجة صادمة😱,2023-09-30 14:20:11+00:00,1569.0,643668,27987,730
SQhzasUtOSg,ردة فعل ديباني فاش عرف انه غيعوم مع القرش😰ولكن ها شنو طرااا !🤣,2023-09-27 13:01:39+00:00,1284.0,549156,29896,452
JhDIbYmTBIU,أول نهار فجكارتا..ديباني تسيف علينا 🥲 متخسروش لفلوس🤑,2023-09-23 12:39:29+00:00,1322.0,627101,31447,881
fo3BXiegcDQ,لحظة الوداع مع ابي😭​..وأول مرة يجرب ديباني السفر بالطيارة✈️​ردة فعل موت ديال الضحك😂​,2023-09-20 12:33:23+00:00,1388.0,769499,36058,680
ldXm7HfT1H4,تريب مع ديباني وحسام :كيفاش غنقولو للظالة غاديين بلا بيه! ردة فعل غير متوقعة,2023-09-16 10:53:49+00:00,999.0,598635,27992,510
